Cover                   Attribute  *Correct  Producer's  Omission            User's  Commission  Cond'l
Type                         Code    Pixels   Accuracy     Error    Kappa  Accuracy      Error    Kappa
----                         ----    ------   --------     -----    -----  --------      -----    -----
Corn                            1    354275     94.59%     5.41%   0.9307    89.35%     10.65%   0.8657
Sorghum                         4        58      7.65%    92.35%   0.0765    54.21%     45.79%   0.5419
Soybeans                        5    100468     84.60%    15.40%   0.8356    88.04%     11.96%   0.8720
Sunflower                       6        15      4.76%    95.24%   0.0476    27.27%     72.73%   0.2726
Sweet Corn                     12      3944     51.73%    48.27%   0.5159    76.72%     23.28%   0.7662
Pop. or Orn. Corn              13         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Barley                         21       280     12.67%    87.33%   0.1263    37.43%     62.57%   0.3736
Spring Wheat                   23        43     12.80%    87.20%   0.1279    33.08%     66.92%   0.3306
Winter Wheat                   24     26407     85.97%    14.03%   0.8573    85.30%     14.70%   0.8505
Dbl. Crop WinWht/Soy           26         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Rye                            27       606     18.21%    81.79%   0.1816    51.62%     48.38%   0.5153
Oats                           28      9123     60.52%    39.48%   0.6025    73.98%     26.02%   0.7377
Millet                         29         1      0.67%    99.33%   0.0067   100.00%      0.00%   1.0000
Speltz                         30       325     29.52%    70.48%   0.2950    72.38%     27.62%   0.7237
Alfalfa                        36    123782     66.65%    33.35%   0.6301    69.67%     30.33%   0.6620
Other Hay                      37    226177     75.50%    24.50%   0.6974    65.78%     34.22%   0.5898
Sugarbeets                     41       109     20.72%    79.28%   0.2071    48.02%     51.98%   0.4800
Dry Beans                      42      5333     50.99%    49.01%   0.5079    70.05%     29.95%   0.6988
Potatoes                       43      2537     63.06%    36.94%   0.6299    74.62%     25.38%   0.7456
Other Crops                    44        79      6.12%    93.88%   0.0611    41.36%     58.64%   0.4132
Misc. Vegs. & Fruits           47        28     12.02%    87.98%   0.1201    44.44%     55.56%   0.4444
Onions                         49       900     87.04%    12.96%   0.8703    69.82%     30.18%   0.6980
Peas                           53      1882     58.61%    41.39%   0.5855    69.11%     30.89%   0.6906
Tomatoes                       54         0      0.00%   100.00%   0.0000     0.00%    100.00%   0.0000
Herbs                          57         0       n/a       n/a      n/a      0.00%    100.00%   0.0000
Clover/Wildflowers             58       992     20.20%    79.80%   0.2013    66.58%     33.42%   0.6649
Sod/Grass Seed                 59       743     36.80%    63.20%   0.3676    61.87%     38.13%   0.6182
Switchgrass                    60         0       n/a       n/a      n/a      0.00%    100.00%   0.0000
Fallow/Idle Cropland           61      6223     15.85%    84.15%   0.1507    37.84%     62.16%   0.3646
Pasture/Grass                  62     25178     29.69%    70.31%   0.2769    50.31%     49.69%   0.4786
Cherries                       66        45     22.50%    77.50%   0.2250    58.44%     41.56%   0.5844
Peaches                        67         1      1.18%    98.82%   0.0118    50.00%     50.00%   0.5000
Apples                         68      2525     52.47%    47.53%   0.5238    75.24%     24.76%   0.7517
Grapes                         69      2254     66.16%    33.84%   0.6611    88.15%     11.85%   0.8813
Christmas Trees                70        30      8.80%    91.20%   0.0880    78.95%     21.05%   0.7894
Other Tree Fruits              73         0      0.00%   100.00%   0.0000     0.00%    100.00%  -0.0001
Aquaculture                    92         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Triticale                     205       233     17.52%    82.48%   0.1750    56.69%     43.31%   0.5666
Carrots                       206       254     67.37%    32.63%   0.6737    62.25%     37.75%   0.6225
Asparagus                     207         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Prunes                        210         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Peppers                       216         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Nectarines                    218         0       n/a       n/a      n/a      0.00%    100.00%   0.0000
Plums                         220         0      0.00%   100.00%   0.0000     0.00%    100.00%   0.0000
Strawberries                  221         0      0.00%   100.00%   0.0000     0.00%    100.00%   0.0000
Squash                        222        91     12.53%    87.47%   0.1253    60.26%     39.74%   0.6025
Vetch                         224         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Dbl. Crop WinWht/Corn         225         2      1.15%    98.85%   0.0115    12.50%     87.50%   0.1249
Lettuce                       227         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Pumpkins                      229        49     10.43%    89.57%   0.1042    36.30%     63.70%   0.3628
Blueberries                   242         0      0.00%   100.00%   0.0000     0.00%    100.00%   0.0000
Cabbage                       243      1067     54.97%    45.03%   0.5493    67.28%     32.72%   0.6724
Cauliflower                   244         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Radishes                      246         0       n/a       n/a      n/a      0.00%    100.00%   0.0000
Eggplants                     248         0      0.00%   100.00%   0.0000      n/a        n/a      n/a
Cranberries                   250         0      0.00%   100.00%   0.0000     0.00%    100.00%   0.0000
